county,year,population,pct_pop_change,avg_commute_mins,pct_comm_change
Lauderdale,2015,26903,-1.6595386921080535,NA,NA
Lauderdale,2014,27357,-0.7833750408007822,NA,NA
Lauderdale,2013,27573,-0.43691774391565463,NA,NA
Lauderdale,2012,27694,-0.02526984585393688,NA,NA
Lauderdale,2011,27701,-0.07214746942750816,NA,NA
Lauderdale,2010,27721,NA,NA,NA
Lawrence,2018,43771,0.8827325527795749,NA,NA
Lawrence,2017,43388,0.7710888145670669,NA,NA
Lawrence,2016,43056,1.0894064613072851,NA,NA
Lawrence,2015,42592,0.6807866868381307,NA,NA
Lawrence,2014,42304,0.6567050537736652,NA,NA
Lawrence,2013,42028,-0.29890401859846705,NA,NA
Lawrence,2012,42154,-0.018974431952945015,NA,NA
Lawrence,2011,42162,0.46465079705482193,NA,NA
Lawrence,2010,41967,NA,NA,NA
Lewis,2018,12074,0.4074844074844153,NA,NA
Lewis,2017,12025,1.1269026995206488,NA,NA
Lewis,2016,11891,0.13473684210525416,NA,NA
Lewis,2015,11875,-0.09254585226317058,NA,NA
Lewis,2014,11886,-0.900450225112559,NA,NA
Lewis,2013,11994,0.43543795009211017,NA,NA
Lewis,2012,11942,-1.6795652889840307,NA,NA
Lewis,2011,12146,-0.22180234946191923,NA,NA
Lewis,2010,12173,NA,NA,NA
Lincoln,2018,34189,0.8763129942169323,NA,NA
Lincoln,2017,33892,0.9772375163866087,NA,NA
Lincoln,2016,33564,-0.1338927073105456,NA,NA
Lincoln,2015,33609,0.49636695272552434,NA,NA
Lincoln,2014,33443,-0.1671691692289312,NA,NA
Lincoln,2013,33499,0.35950747475956835,NA,NA
Lincoln,2012,33379,-0.023961422110396757,NA,NA
Lincoln,2011,33387,0.01497813192739006,NA,NA
Lincoln,2010,33382,NA,NA,NA
Loudon,2018,53082,1.5729047072330582,NA,NA
Loudon,2017,52260,1.7265878963657944,NA,NA
Loudon,2016,51373,0.8975567601539725,NA,NA
Loudon,2015,50916,0.6523544063574915,NA,NA
Loudon,2014,50586,0.3969356567300464,NA,NA
Loudon,2013,50386,1.1300002007105237,NA,NA
Loudon,2012,49823,1.2909652760835888,NA,NA
Loudon,2011,49188,0.9813180045165293,NA,NA
Loudon,2010,48710,NA,NA,NA
Macon,2018,24289,1.6063585024053584,NA,NA
Macon,2017,23905,2.4207369323050454,NA,NA
Macon,2016,23340,1.14404576183047,NA,NA
Macon,2015,23076,0.685021161481747,NA,NA
Macon,2014,22919,1.2457481114988678,NA,NA
Macon,2013,22637,0.6625755958733492,NA,NA
Macon,2012,22488,0.14696058784235966,NA,NA
Macon,2011,22455,0.9803480685344201,NA,NA
Macon,2010,22237,NA,NA,NA
Madison,2018,97603,0.11488239940096179,19.3,-2.030456852791873
Madison,2017,97491,0.013336342559355785,19.7,7.065217391304346
Madison,2016,97478,-0.09326732876221433,18.4,-4.6632124352331665
Madison,2015,97569,-0.5757433713086235,19.3,9.659090909090896
Madison,2014,98134,-0.6036665653803341,17.6,-2.7624309392265234
Madison,2013,98730,0.22841480127913094,18.1,-6.217616580310881
Madison,2012,98505,0.4292239305085488,19.3,4.324324324324325
Madison,2011,98084,-0.16794064061720348,18.5,-1.0695187165775333
Madison,2010,98249,NA,18.7,NA
Marion,2018,28598,0.6759135393930915,NA,NA
Marion,2017,28406,0.0810344220131709,NA,NA
Marion,2016,28383,-0.04930098249814607,NA,NA
Marion,2015,28397,-0.028164055624013695,NA,NA
Marion,2014,28405,0.2788957141848458,NA,NA
Marion,2013,28326,0.3542832849146249,NA,NA
Marion,2012,28226,0.4519733798355796,NA,NA
Marion,2011,28099,-0.42877391920623786,NA,NA
Marion,2010,28220,NA,NA,NA
Marshall,2018,33806,2.3803755299818263,NA,NA
Marshall,2017,33020,3.074761979085383,NA,NA
Marshall,2016,32035,1.4086736308958514,NA,NA
